[2017-07-30T02:47:36+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2017-07-30T02:47:52+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-07-30T03:13:17+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2017-07-30T03:14:35+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-07-30T03:26:02+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-07-30T03:27:05+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2017-07-30T03:34:56+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-07-30T03:34:56+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_WORLD_UNLOADED; game type ADVENTURE_MAIN (1)
[2017-07-30T03:34:56+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2017-07-30T03:35:03+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2017-07-30T03:35:17+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-07-30T03:36:27+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_MAP_LOADED; game type DWARF_RECLAIM (3)
[2017-07-30T04:23:22+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_MAP_UNLOADED; game type DWARF_RECLAIM (3)
[2017-07-30T04:23:22+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_WORLD_UNLOADED; game type DWARF_RECLAIM (3)
[2017-07-30T23:47:41+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_WORLD_LOADED; game type DWARF_RECLAIM (3)
[2017-07-30T23:47:42+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_MAP_LOADED; game type DWARF_RECLAIM (3)
[2017-07-30T23:48:12+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_MAP_UNLOADED; game type DWARF_RECLAIM (3)
[2017-07-30T23:48:23+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2017-07-30T23:48:42+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-07-30T23:50:43+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-07-31T01:33:46+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-07-31T01:33:46+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-09-17T02:48:05+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-09-17T02:48:06+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-09-17T02:49:21+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-09-17T02:49:22+0200] DFHack 0.43.05-r1-0-g2396392b on Windows; cwd md5: 04fe835296; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
